year,state,births,region,percent,topFive
1915,AR,28484,South,1.69,"['James', 'Mary', 'William', 'John', 'Robert']"
1915,CA,35836,West,2.12,"['John', 'William', 'Robert', 'Dorothy', 'George']"
1915,CO,11737,West,0.69,"['Mary', 'John', 'William', 'Robert', 'Helen']"
1915,CT,21807,Northeast,1.29,"['Mary', 'John', 'Joseph', 'Helen', 'William']"
1915,DE,2858,South,0.17,"['Mary', 'John', 'William', 'Charles', 'James']"
1915,FL,15869,South,0.94,"['James', 'Mary', 'William', 'John', 'Robert']"
1915,GA,53667,South,3.18,"['James', 'John', 'William', 'Willie', 'Robert']"
1915,HI,3622,West,0.21,"['Mary', 'George', 'John', 'Joseph', 'Helen']"
1915,ID,6110,West,0.36,"['John', 'Mary', 'William', 'Robert', 'Helen']"
1915,IL,100837,Midwest,5.97,"['John', 'William', 'Robert', 'Dorothy', 'Joseph']"
1915,IN,42865,Midwest,2.54,"['Mary', 'Robert', 'John', 'Helen', 'William']"
1915,IA,35894,Midwest,2.12,"['Mary', 'John', 'Robert', 'Dorothy', 'Helen']"
1915,KS,25862,Midwest,1.53,"['Mary', 'John', 'William', 'Dorothy', 'Helen']"
1915,KY,42338,South,2.51,"['James', 'William', 'John', 'Robert', 'Charles']"
1915,LA,30867,South,1.83,"['Mary', 'James', 'John', 'Joseph', 'William']"
1915,ME,10609,Northeast,0.63,"['Mary', 'John', 'George', 'Dorothy', 'William']"
1915,MD,21729,South,1.29,"['Mary', 'William', 'John', 'Charles', 'James']"
1915,MA,60194,Northeast,3.56,"['Mary', 'John', 'Joseph', 'Helen', 'William']"
1915,MI,52001,Midwest,3.08,"['John', 'Helen', 'William', 'Dorothy', 'Robert']"
1915,MN,37150,Midwest,2.20,"['John', 'Helen', 'Mary', 'Dorothy', 'Robert']"
1915,MS,31679,South,1.87,"['Mary', 'James', 'John', 'William', 'Robert']"
1915,MO,50128,Midwest,2.97,"['Mary', 'William', 'John', 'James', 'Dorothy']"
1915,MT,8397,West,0.50,"['John', 'Helen', 'Mary', 'William', 'Robert']"
1915,NE,20308,Midwest,1.20,"['Helen', 'John', 'Mary', 'Dorothy', 'William']"
1915,NV,457,West,0.03,"['John', 'Mary', 'William', 'Charles', 'Margaret']"
1915,NH,5733,Northeast,0.34,"['Mary', 'John', 'Robert', 'Dorothy', 'William']"
1915,NJ,49970,Northeast,2.96,"['John', 'Mary', 'Joseph', 'Helen', 'William']"
1915,NM,5311,West,0.31,"['Mary', 'John', 'Jose', 'Joe', 'William']"
1915,NY,169885,Northeast,10.05,"['John', 'Joseph', 'William', 'Margaret', 'Ruth']"
1915,NC,52636,South,3.11,"['James', 'William', 'John', 'Robert', 'Annie']"
1915,ND,12560,Midwest,0.74,"['John', 'Helen', 'Mary', 'Dorothy', 'William']"
1915,OH,84974,Midwest,5.03,"['John', 'Robert', 'Helen', 'William', 'Ruth']"
1915,OK,31971,South,1.89,"['Mary', 'William', 'John', 'James', 'Robert']"
1915,OR,8965,West,0.53,"['Mary', 'John', 'Robert', 'William', 'Helen']"
1915,PA,159556,Northeast,9.44,"['John', 'William', 'Joseph', 'Margaret', 'Dorothy']"
1915,RI,8336,Northeast,0.49,"['Mary', 'John', 'Joseph', 'William', 'Helen']"
